OBJECTID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,zipcode,PRKTYPE,PRKCAT,PRKSTATUS,PRKDIST,PRKSIZE,PRKXCOORD,PRKYCOORD,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID,parklatitude,parklongitude
118,EAST,Eastover Park,2730 RANDOLPH RD,2730, ,RANDOLPH,RD, ,CHARLOTTE,NC,28207,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 5,1998/07/28 00:00:00+00,,,1458408.111,532565.717,Mecklenburg,35.197346,-80.814623
16,WMJP,West Mecklenburg Park,2765 WESTERWOOD VILLAGE DR.,0, , , ,NO,CHARLOTTE,NC,28214,Neighborhood,General,Undeveloped,North,,,,9803141001,,,District 3,District 2,2008/07/28 00:00:00+00,,,1416395.272,551607.9467,Mecklenburg,35.24945,-80.954228
82,DRUD,Druid Hills Park,2801 POINSETT ST,2801, ,POINSETT,ST, ,CHARLOTTE,NC,28206,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 3,1998/10/07 00:00:00+00,,,1453292.949,554069.1403,Mecklenburg,35.258728,-80.831102
155,SHFP,Shuffletown Prairie Nature Preserve,2804 HART RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28214,Nature Preserve,General,Developed,North,,,,9803141001,,,District 2,District 1,2002/05/13 00:00:00+00,,,1415261.331,580173.5785,Mecklenburg,35.327527,-80.960949
237,RENP,Reedy Creek Nature Preserve,2900 ROCKY RIVER RD,2900, ,ROCKY RIVER,RD, ,CHARLOTTE,NC,28215,Nature Preserve,General,Developed,North,,,,9803141001,,,District 4,District 3,1998/07/28 00:00:00+00,,,1487659.751,560034.7351,Mecklenburg,35.27548,-80.716941
309,REDY,Reedy Creek Park,2900 ROCKY RIVER RD,2900, ,ROCKY RIVER,RD, ,CHARLOTTE,NC,28215,Regional,General,Developed,North,,,,9803141001,,,District 4,District 3,2008/05/14 00:00:00+00,,,1487582.496,559996.4957,Mecklenburg,35.27548,-80.716941
221,CCHG,Country Club Heights Community Garden,2909 DUNLAVIN WY,2909,,DUNLAVIN,WY,,CHARLOTTE,NC,28205,Community Garden,Garden,Developed,Central,,,,9803141000,,,District 1,District 5,2018/08/24 00:00:00+00,,,1468194,543629.9999,Mecklenburg,35.230623,-80.780974
263,ENDC,Bette Rae Thomas Recreation Center,2921 TUCKASEEGEE RD,1220, ,CLAY,AV, ,CHARLOTTE,NC,28208,Recreation Center,RecCenter,Developed,Central,,,,9803141111,,,District 3,District 2,1998/07/28 00:00:00+00,,,1439430.591,548073.46,Mecklenburg,35.241546,-80.877733
196,RCNC,Reedy Creek Nature Center,2986 ROCKY RIVER RD,2986, ,ROCKY RIVER,RD, ,CHARLOTTE,NC,28215,Nature Center,General,Developed,North,,,,9803141001,,,District 4,District 3,2016/07/06 00:00:00+00,,,1486782.38,554634.2779,Mecklenburg,35.261773,-80.719383
11,JBCP,James Boyce Park,300 BOYCE RD,300, ,BOYCE,RD, ,CHARLOTTE,NC,28211,Community,General,Developed,South,,,,9803141003,,,District 6,District 5,1999/02/11 00:00:00+00,,,1471143.229,513298.1812,Mecklenburg,35.144505,-80.765991
100,INDP,Independence Park,300 HAWTHORNE LN,300, ,HAWTHORNE,LN,NO,CHARLOTTE,NC,28204,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1455728.206,538438.3214,Mecklenburg,35.213921,-80.823758
279,WEPK,Romare Bearden Park,300 S CHURCH ST,0, , , , ,CHARLOTTE,NC,28202,Neighborhood,General,Developed,Central,,,,9803141002,,,District 2,District 4,2009/04/24 00:00:00+00,,,1448476.753,542416.8192,Mecklenburg,35.226974,-80.847325
296,MOCG,Merry Oaks Community Garden,3000 HARBINGER CT,3000,,HARBINGER,CT,,CHARLOTTE,NC,28205,Community Garden,Garden,Developed,Central,,,,9803141002,,,District 3,District 2,2017/01/12 00:00:00+00,,,1464702.253,540960.0927,Mecklenburg,35.223147,-80.792619
265,MLCP,Mallard Creek Park,3001 JOHNSTON OEHLER RD,3001, ,JOHNSTON OEHLER,RD, ,CHARLOTTE,NC,28269,Regional,General,Developed,North,,,,9803141001,,,District 4,District 1,1998/07/28 00:00:00+00,,,1475023.32,591399.4427,Mecklenburg,35.360603,-80.763781
54,FOUR,Fourth Ward Park,301 N POPLAR ST,301,N,POPLAR,ST, ,CHARLOTTE,NC,28202,Neighborhood,General,Developed,Central,,,,9803141002,,,District 2,District 4,2007/12/12 00:00:00+00,,,1449875.708,544321.5989,Mecklenburg,35.230762,-80.842755
1,CLAG,Clanton Park Community Garden,3010 BARRINGER DR,3010,,BARRINGER,DR,,CHARLOTTE,NC,28217,Community Garden,Garden,Developed,Central,,,,9803141002,,,District 3,District 2,2019/03/25 16:29:41+00,,,1437598.029,535681.4151,Mecklenburg,35.206989,-80.882984
238,WINT,Winterfield Park,3010 WINTERFIELD PL,0, , , ,NO,CHARLOTTE,NC,28205,Neighborhood,General,Developed,South,,,,9803141003,,,District 5,District 4,2008/04/21 00:00:00+00,,,1472619.601,535594.4866,Mecklenburg,35.209405,-80.76621
170,CLEM,Davis Flohr Park,3020 CLEMSON AV,3020, ,CLEMSON,AV, ,CHARLOTTE,NC,28205,Neighborhood,General,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1461636.744,547720.8184,Mecklenburg,35.241698,-80.802863
